Time (uS) - Plot 0;Amplitude - Plot 0 - real;Time (uS) - Plot 0;Amplitude - Plot 1 - imag
4640;-2,60E+04;4640;2,50E+04
4660;9,40E+04;4660;-1,30E+04
4680;-1,20E+04;4680;-7,80E+04
4700;-6,60E+04;4700;-5,70E+04
4720;4,50E+04;4720;1,00E+04
4740;5,00E+03;4740;-5,40E+04
4760;1,20E+04;4760;-1,00E+04
4780;-7,60E+04;4780;-9,00E+03
4800;-1,70E+04;4800;-2,80E+04
4820;-4,50E+04;4820;1,60E+04
4840;5,60E+04;4840;3,00E+03
4860;-6,60E+04;4860;3,30E+02
4880;-5,00E+04;4880;-2,50E+04
4900;5,30E+04;4900;1,70E+04
4920;7,30E+04;4920;3,50E+04
4940;9,00E+03;4940;3,30E+04
4960;-7,80E+04;4960;2,10E+04
4980;5,60E+04;4980;-6,40E+04
5000;-2,00E+04;5000;-4,80E+04
5020;-2,00E+04;5020;-2,80E+04
5040;2,30E+04;5040;4,60E+04
5060;3,90E+04;5060;4,00E+04
5080;2,30E+04;5080;1,40E+04
5100;-7,10E+04;5100;-1,30E+04
5120;-7,40E+04;5120;4,00E+04
5140;-3,00E+03;5140;3,48E+02
5160;6,00E+03;5160;2,00E+03
5180;3,20E+04;5180;-4,40E+04
5200;2,50E+04;5200;-2,30E+04
5220;-2,40E+04;5220;2,40E+04
5240;3,70E+04;5240;4,70E+04
5260;4,10E+04;5260;6,00E+03
5280;2,70E+04;5280;-1,00E+04
5300;-6,50E+04;5300;-5,00E+04
5320;2,00E+03;5320;-3,40E+04
5340;-5,80E+04;5340;-2,70E+04
5360;-7,00E+03;5360;4,90E+04
5380;2,60E+04;5380;-1,60E+04
5400;-4,60E+04;5400;-2,10E+04
5420;-7,00E+03;5420;-1,40E+04
5440;4,30E+04;5440;3,40E+04
5460;3,00E+04;5460;-3,00E+03
5480;4,00E+04;5480;7,00E+03
5500;1,60E+04;5500;-4,80E+04
5520;1,60E+04;5520;-2,80E+04
5540;-2,70E+04;5540;2,20E+04
5560;2,70E+04;5560;-3,60E+04
5580;-7,00E+03;5580;3,60E+04
5600;3,90E+04;5600;7,30E+04
5620;1,00E+03;5620;1,90E+04
5640;7,00E+03;5640;3,00E+03
5660;-6,10E+04;5660;-3,60E+04
5680;-6,80E+04;5680;-7,20E+04
5700;-3,30E+04;5700;2,00E+03
5720;5,90E+04;5720;3,50E+04
5740;1,10E+04;5740;-2,00E+03
5760;-8,50E+04;5760;1,00E+03
5780;4,00E+03;5780;7,00E+04
5800;-2,70E+04;5800;9,51E+02
5820;5,50E+04;5820;-2,90E+04
5840;6,20E+04;5840;1,20E+04
